,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0,0000000150-0001-5,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,2015 W TEMPLE STREET,LOS ANGELES,90026-4913,2015 TEMPLE 90026-4913,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",13,01/01/1991,,
1,0000000156-0001-2,SPRINGBOARD NON-PROFIT CONSUMER CREDIT MANAGEMENT,MONEY MANAGEMENT INTERNATIONAL,1605 W OLYMPIC BLVD #9023,LOS ANGELES,90015-3828,1605 OLYMPIC 90015-3828,,,,523900.0,Other financial investment activities (including investment advice),1,02/01/1999,,
2,0002842614-0001-2,AUSTIN B CREEK,,3610 W MAGNOLIA BLVD,BURBANK,91505-2913,3610 MAGNOLIA 91505-2913,,,,711510.0,"Independent artists, writers, & performers",0,09/01/2008,,"(34.168, -118.3463)"
3,0003176540-0001-1,SOEUNG CHAING,CAFECAFE,1330 W PACIFIC COAST HIGHWAY SUITE #E,WILMINGTON,90744-2467,1330 PACIFIC COAST 90744-2467,,,,722211.0,Limited-service eating places,15,01/01/2020,,"(33.7901, -118.2804)"
4,0002728984-0001-8,MARIA ALVAREZ,,9625 SYLMAR AVENUE UNIT #23,PANORAMA CITY,91402-1153,9625 SYLMAR 91402-1153,,,,561720.0,Janitorial services,6,01/01/2013,,"(34.2447, -118.4476)"
5,0002973746-0002-1,BELINDA MIXON-JOY,BOOM'S ROOM,327 CULVER BLVD UNIT #4,PLAYA DEL REY,90293-7770,327 CULVER 90293-7770,,,,448150.0,Clothing accessories stores,11,05/12/2021,,"(33.9603, -118.4471)"
6,0003318526-0001-9,MARTIN HERNANDEZ,E H PAINTING,1421 PICO STREET,SAN FERNANDO,91340-3506,1421 PICO 91340-3506,,,,233210.0,Single Family Housing Construction (1997 NAICS),0,06/01/2022,,
7,0000774650-0001-8,GARY JOSEPH PENN,GARY PENN PHD,11911 SAN VICENTE BLVD SUITE #250,LOS ANGELES,90049-6639,11911 SAN VICENTE 90049-6639,,,,621399.0,Offices of all other miscellaneous health practitioners,11,03/03/1999,,"(34.0528, -118.4699)"
8,0002858476-0001-7,ARTOUR POGOSSIAN,MARGARITA FINE JEWELRY,608 S BROADWAY UNIT #E10,LOS ANGELES,90014-1822,608 BROADWAY 90014-1822,,,,448310.0,Jewelry stores,14,10/01/2015,,"(34.0464, -118.2521)"
9,0003003114-0001-4,LYNAZIA BROWN,THE SCENE CHIC,10634 S WILTON PLACE,LOS ANGELES,90047-4352,10634 WILTON 90047-4352,,,,315000.0,Apparel mfg.,0,08/01/2017,,"(33.939, -118.314)"
10,0000000247-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3806 W PICO BLVD,LOS ANGELES,90019-4304,3806 PICO 90019-4304,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",10,01/01/1991,,
11,0000000267-0001-9,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3115 VENICE BLVD,LOS ANGELES,90019-6238,3115 VENICE 90019-6238,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000.0,"Educational services (including schools, colleges, & universities)",10,01/01/1991,,
