LocationType,LocationName,Address,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Outdoor Fitness,105TH STREET POCKET PARK,"609 West 105th Street, Los Angeles, CA 90044",https://www.laparks.org/park/105th-street-pocket-park,(310) 548-7598,8,33.940981,-118.285229
Parks,105TH STREET POCKET PARK,"609 West 105th Street, Los Angeles, CA 90044",https://www.laparks.org/park/105th-street-pocket-park,(310) 548-7598,8,33.940981,-118.285229
Summer Pool,109TH STREET POOL,"1500 E. 109th St.,Los Angeles, CA 90059",https://www.laparks.org/aquatic/summer/109th-street-pool,(323) 249-0858,15,33.9368076,-118.2479867
Free Tennis,109TH STREET RECREATION CENTER,"1464 East 109th St., Los Angeles, CA 90059",https://www.laparks.org/reccenter/109th-street,(323) 566-4561,15,33.9366823,-118.248944
Recreation Center,109TH STREET RECREATION CENTER,"1464 East 109th St., Los Angeles, CA 90059",https://www.laparks.org/reccenter/109th-street,(323) 566-4561,15,33.9366823,-118.248944
Outdoor Fitness,111TH PLACE POCKET PARK,"207 E. 111th Place, Los Angeles, CA",https://www.laparks.org/park/111th-place-pocket-park,(213) 485-1343,8,33.934189,-118.271246
Parks,111TH PLACE POCKET PARK,"207 E. 111th Place, Los Angeles, CA",https://www.laparks.org/park/111th-place-pocket-park,(213) 485-1343,8,33.934189,-118.271246
Parks,49TH STREET PARK,"670 E. 49th St. Los Angeles, CA 90011",https://www.laparks.org/park/49th-street-park,(213) 485-1343,9,33.99834,-118.263514
Outdoor Fitness,61ST STREET POCKET PARK,"139 East 61st Street, Los Angeles, CA 90003",https://www.laparks.org/park/61st-street-pocket-park,(310) 548-7598,9,33.9845029,-118.272468
Parks,61ST STREET POCKET PARK,"139 East 61st Street, Los Angeles, CA 90003",https://www.laparks.org/park/61st-street-pocket-park,(310) 548-7598,9,33.9845029,-118.272468
Outdoor Fitness,76TH STREET POCKET PARK,"833 W. 76th Street, Los Angeles, CA 90044",https://www.laparks.org/park/76th-street-pocket-park,(310) 548-7598,8,33.9709393,-118.2882685
Parks,76TH STREET POCKET PARK,"833 W. 76th Street, Los Angeles, CA 90044",https://www.laparks.org/park/76th-street-pocket-park,(310) 548-7598,8,33.9709393,-118.2882685
Outdoor Fitness,97TH STREET PARK,"554 West 97th Street, Los Angeles, CA 90044",https://www.laparks.org/park/97th-street-park,(310) 548-7598,8,33.947991,-118.284697
Parks,97TH STREET PARK,"554 West 97th Street, Los Angeles, CA 90044",https://www.laparks.org/park/97th-street-park,(310) 548-7598,8,33.947991,-118.284697
Playground,AIDAN'S PLACE AT WESTWOOD RECREATION CENTER,"1350 S. Sepulveda, Los Angeles, CA 90024",https://www.laparks.org/playgrounds/westwoodUAPRC,(310) 473-3610,5,34.0531294,-118.4481111
Parks,Albion Riverside Park,"1739 N. Albion St. LA, CA 90031",https://www.laparks.org/park/albion-riverside-park,,1,34.06879,-118.223549
Year Round Pool,ALGIN SUTTON POOL,"8800 S. Hoover St., Los Angeles, CA 90044",https://www.laparks.org/aquatic/year-round/algin-sutton-pool,(323) 789-2826,8,33.9571411,-118.2863963
Free Tennis,ALGIN SUTTON RECREATION CENTER,"8800 South Hoover St., Los Angeles, CA 90044",https://www.laparks.org/reccenter/algin-sutton,(323) 753-5808,8,33.9571411,-118.2863963
Outdoor Fitness,ALGIN SUTTON RECREATION CENTER,"8800 South Hoover St., Los Angeles, CA 90044",https://www.laparks.org/reccenter/algin-sutton,(323) 753-5808,8,33.9571411,-118.2863963
Recreation Center,ALGIN SUTTON RECREATION CENTER,"8800 South Hoover St., Los Angeles, CA 90044",https://www.laparks.org/reccenter/algin-sutton,(323) 753-5808,8,33.9571411,-118.2863963
Parks,ALISO CANYON PARK,"18041 Rinaldi St, Granada Hills, CA 91344",https://www.laparks.org/park/aliso-canyon,(818) 756-8189,12,34.2856985,-118.5305499
Parks,ALIZONDO DRIVE PARK,"22103 Alizondo Drive Woodland Hills, CA 91367",https://www.laparks.org/park/alizondo-drive,(818) 756-8189,3,34.1511946,-118.6047476
Parks,ALMA PARK,"W. 21st St. and Meyler St., San Pedro, CA 90731",https://www.laparks.org/park/alma,(310) 548-7598,15,33.72382573,-118.2897949
Recreation Center,ALPINE RECREATION CENTER,"817 Yale St., Los Angeles, CA 90012",https://www.laparks.org/reccenter/alpine,(213) 485-5448,1,34.063919,-118.2409223
Parks,ALVARADO TERRACE PARK,"1342 S. Alvarado Terrace, Los Angeles, CA 90006",https://www.laparks.org/park/alvarado-terrace,(213) 485-4833,1,34.0447141,-118.2816433
Outdoor Fitness,AMISTAD POCKET PARK,"13116 W. Kagel Canyon Street, Pacoima, CA 91331",https://www.laparks.org/park/amistad-pocket-park,(818) 756-8190,7,34.2529307,-118.4180539
Parks,AMISTAD POCKET PARK,"13116 W. Kagel Canyon Street, Pacoima, CA 91331",https://www.laparks.org/park/amistad-pocket-park,(818) 756-8190,7,34.2529307,-118.4180539
