,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LAT,LON,CATEGORY
0,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,Unknown,2015 W TEMPLE STREET,LOS ANGELES,90026,611000.0,"Educational services (including schools, colleges, & universities)",13,1991-01-01,,,Education and Training
1,SPRINGBOARD NON-PROFIT CONSUMER CREDIT MANAGEMENT,MONEY MANAGEMENT INTERNATIONAL,1605 W OLYMPIC BLVD #9023,LOS ANGELES,90015,523900.0,Other financial investment activities (including investment advice),1,1999-02-01,,,Financial Services
2,AUSTIN B CREEK,Unknown,3610 W MAGNOLIA BLVD,BURBANK,91505,711510.0,"Independent artists, writers, & performers",0,2008-09-01,34.168, -118.3463,Arts and Entertainment
3,SOEUNG CHAING,CAFECAFE,1330 W PACIFIC COAST HIGHWAY SUITE #E,WILMINGTON,90744,722211.0,Limited-service eating places,15,2020-01-01,33.7901, -118.2804,Food and Dining
4,MARIA ALVAREZ,Unknown,9625 SYLMAR AVENUE UNIT #23,PANORAMA CITY,91402,561720.0,Janitorial services,6,2013-01-01,34.2447, -118.4476,Professional and Business Services
5,BELINDA MIXON-JOY,BOOM'S ROOM,327 CULVER BLVD UNIT #4,PLAYA DEL REY,90293,448150.0,Clothing accessories stores,11,2021-05-12,33.9603, -118.4471,Retail and Shopping
6,MARTIN HERNANDEZ,E H PAINTING,1421 PICO STREET,SAN FERNANDO,91340,233210.0,Single Family Housing Construction (1997 NAICS),0,2022-06-01,,,Construction and Building Services
7,GARY JOSEPH PENN,GARY PENN PHD,11911 SAN VICENTE BLVD SUITE #250,LOS ANGELES,90049,621399.0,Offices of all other miscellaneous health practitioners,11,1999-03-03,34.0528, -118.4699,Healthcare and Medical Services
8,ARTOUR POGOSSIAN,MARGARITA FINE JEWELRY,608 S BROADWAY UNIT #E10,LOS ANGELES,90014,448310.0,Jewelry stores,14,2015-10-01,34.0464, -118.2521,Retail and Shopping
9,LYNAZIA BROWN,THE SCENE CHIC,10634 S WILTON PLACE,LOS ANGELES,90047,315000.0,Apparel mfg.,0,2017-08-01,33.939, -118.314,Manufacturing and Production
