X,Y,OBJECTID,cat1,cat2,cat3,name,label,addrln1,addrln2,city,state,zip,organization,source,source_id,source_date,latitude,longitude,enrollment,label_class
-118.39696,34.2347,1,Education,Elementary-High Combination Schools,Charter Schools,North Valley Military Institute College Preparatory Academy,North Valley Military Institute College Preparatory Academy,12105 Allegheny Street,,Sun Valley,CA,91352,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990100776,02/09/2023,34.2347,-118.39696,784,Charter Schools
-118.262395038,34.035323981,2,Education,Elementary Schools,Charter Schools,Jardin de la Infancia,Jardin de la Infancia,"1400 S Broadway Los Angeles, CA 90015",,Los Angeles,CA,90015-2209,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990106880,02/09/2023,34.03532398,-118.26239504,14,Charter Schools
-118.1966,33.9842,3,Education,Elementary Schools,Charter Schools,Aspire Antonio Maria Lugo Academy,Aspire Antonio Maria Lugo Academy,6100 Carmelita Avenue,,Huntington Park,CA,90255-4138,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990109660,02/09/2023,33.9842,-118.1966,421,Charter Schools
-118.2264,33.9899800000001,4,Education,Elementary-High Combination Schools,Charter Schools,Aspire Ollin University Preparatory Academy,Aspire Ollin University Preparatory Academy,2540 East 58th Street,,Huntington Park,CA,90255-2659,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990112128,02/09/2023,33.98998,-118.2264,557,Charter Schools
-118.251219999,33.85017,5,Education,Elementary-High Combination Schools,Charter Schools,Magnolia Science Academy 3,Magnolia Science Academy 3,1254 East Helmick Street,,Carson,CA,90746-3164,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990115030,02/09/2023,33.85017,-118.25122,379,Charter Schools
-118.50695,34.1869800000001,6,Education,Elementary-High Combination Schools,Charter Schools,Magnolia Science Academy 2,Magnolia Science Academy 2,17125 Victory Boulevard,,Van Nuys,CA,91406-5455,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990115212,02/09/2023,34.18698,-118.50695,511,Charter Schools
-118.289540001,33.8804400000001,7,Education,Intermediate/Middle/Junior High Schools,Charter Schools,Environmental Charter Middle,Environmental Charter Middle,812 West 165th Place,,Gardena,CA,90247-5105,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990121772,02/09/2023,33.88044,-118.28954,349,Charter Schools
-118.335900001,33.93071,8,Education,Intermediate/Middle/Junior High Schools,Charter Schools,Environmental Charter Middle - Inglewood,Environmental Charter Middle - Inglewood,3600 West Imperial Highway,,Inglewood,CA,90303-2714,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990127498,02/09/2023,33.93071,-118.3359,358,Charter Schools
-118.45806,34.2064369990001,9,Education,Elementary Schools,Charter Schools,Lashon Academy,Lashon Academy,7477 Kester Avenue,,Van Nuys,CA,91405-1722,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990128025,02/09/2023,34.206437,-118.45806,526,Charter Schools
-118.206659999,33.95498,10,Education,Intermediate/Middle/Junior High Schools,Charter Schools,Valiente College Preparatory Charter,Valiente College Preparatory Charter,8691 California Avenue,,South Gate,CA,90280-3003,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990132605,02/09/2023,33.95498,-118.20666,116,Charter Schools
-118.18992,33.78813,11,Education,High Schools,Charter Schools,Intellectual Virtues Academy,Intellectual Virtues Academy,1637 Long Beach Boulevard,,Long Beach,CA,90813-4001,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990134346,02/09/2023,33.78813,-118.18992,95,Charter Schools
-118.309263037,34.001707981,12,Education,Intermediate/Middle/Junior High Schools,Charter Schools,Russell Westbrook Why Not? Middle,Russell Westbrook Why Not? Middle,1700 West 46th Street,,Los Angeles,CA,90062-2347,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990134361,02/09/2023,34.00170798,-118.30926304,133,Charter Schools
-118.148550001,34.19798,13,Education,Elementary Schools,Charter Schools,Alma Fuerte Public,Alma Fuerte Public,119 West Palm Street,,Altadena,CA,91001-4375,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990135368,02/09/2023,34.19798,-118.14855,145,Charter Schools
-118.3087,33.9953100000001,14,Education,High Schools,Charter Schools,Russell Westbrook Why Not? High,Russell Westbrook Why Not? High,1755 West 52nd Street,,Los Angeles,CA,90062-2347,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990135582,02/09/2023,33.99531,-118.3087,224,Charter Schools
-118.324820001,33.9524000000001,15,Education,High Schools,Charter Schools,Animo City of Champions Charter High,Animo City of Champions Charter High,9330 South Eighth Avenue,,Inglewood,CA,90305-2914,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990136119,02/09/2023,33.9524,-118.32482,315,Charter Schools
-118.2018,33.9170100000001,16,Education,Elementary Schools,Charter Schools,Soleil Academy Charter,Soleil Academy Charter,3900 Agnes Avenue,,Lynwood,CA,90262-4415,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990137166,02/09/2023,33.91701,-118.2018,268,Charter Schools
-118.530532959,34.200734009,17,Education,Elementary-High Combination Schools,Charter Schools,Magnolia Science Academy 5,Magnolia Science Academy 5,18238 Sherman Way,,Reseda,CA,91335-6121,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990137679,02/09/2023,34.20073401,-118.53053296,238,Charter Schools
-118.37781,33.9089109990001,18,Education,High Schools,Charter Schools,Da Vinci RISE High,Da Vinci RISE High,201 North Douglas Street,,El Segundo,CA,90245-4637,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990138669,02/09/2023,33.908911,-118.37781,187,Charter Schools
-118.323932,34.02639,19,Education,Elementary Schools,Charter Schools,Lashon Academy City,Lashon Academy City,3109 Sixth Avenue,,Los Angeles,CA,90018-2920,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990139170,02/09/2023,34.02639,-118.323932,72,Charter Schools
-118.189825024,33.787981981,20,Education,High Schools,Charter Schools,We the People High,We the People High,1635 Long Beach Boulevard,,Long Beach,CA,90813-2304,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990139345,02/09/2023,33.78798198,-118.18982502,38,Charter Schools
-118.325341036,33.8870399830001,21,Education,High Schools,Charter Schools,Environmental Charter High - Gardena,Environmental Charter High - Gardena,2818 Manhattan Beach Boulevard,,Gardena,CA,90249-4534,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=98bed7e2261f47b681e9357101d7d7f7 (enrollment and improved location accuracy)",19101990140681,02/09/2023,33.88703998,-118.32534104,221,Charter Schools
