OBJECTID,CSA_Label,Total_Unsheltered_Pop,Total_Sheltered_Pop,Total_Pop,Data_Source,Square_Miles,Density_Unsheltered,Density_Sheltered,Density_Total,Shape__Area,Shape__Length
1,City of Agoura Hills,2,0,2,Los Angeles Homeless Services Authority (LAHSA),5.42772257254032,0.368478670984089,0,0.368478670984089,20581497.1679688,21914.0809034578
2,City of Alhambra,32,14,46,Los Angeles Homeless Services Authority (LAHSA),7.63002893846662,4.19395525994308,1.8348554262251,6.02881068616818,28882441.875,25368.8960589701
3,City of Arcadia,68,0,68,Los Angeles Homeless Services Authority (LAHSA),10.2404110274238,6.64035846001651,0,6.64035846001651,38812357.6015625,35209.9662573011
4,City of Artesia,24,0,24,Los Angeles Homeless Services Authority (LAHSA),1.62077268564757,14.8077520139173,0,14.8077520139173,6103735.5859375,15015.3365503336
5,City of Avalon,28,3,31,Los Angeles Homeless Services Authority (LAHSA),1.23383326080227,22.693503968108,2.43144685372586,25.1249508218339,4589095.265625,12492.0862887429
6,City of Azusa,233,38,271,Los Angeles Homeless Services Authority (LAHSA),9.59289339248667,24.288813652666,3.96126574592837,28.2500793985944,36360604.671875,38302.3086529117
7,City of Baldwin Park,550,0,550,Los Angeles Homeless Services Authority (LAHSA),6.63427776735205,82.9027694177361,0,82.9027694177361,25112809.1679688,30246.0832046168
8,City of Bell,20,0,20,Los Angeles Homeless Services Authority (LAHSA),1.93565352989811,10.3324276225471,0,10.3324276225471,7308036.765625,17028.4671552238
9,City of Bell Gardens,83,0,83,Los Angeles Homeless Services Authority (LAHSA),2.46308329938844,33.6976017094542,0,33.6976017094542,9297602.52734375,14308.5454126123
10,City of Bellflower,230,12,242,Los Angeles Homeless Services Authority (LAHSA),6.17082784057958,37.2721466133785,1.94463373635018,39.2167803497287,23250274.6796875,21719.5254648685
11,City of Beverly Hills,19,0,19,Los Angeles Homeless Services Authority (LAHSA),5.71030796559386,3.32731616481635,0,3.32731616481635,21612816.5195313,32136.3612419063
12,City of Bradbury,0,0,0,Los Angeles Homeless Services Authority (LAHSA),1.98692506745848,0,0,0,7533685.7734375,13434.5123003139
13,City of Burbank,207,84,291,Los Angeles Homeless Services Authority (LAHSA),17.3776806907705,11.9118312554759,4.833786596425,16.7456178519009,65944027.8867188,37745.3956280587
14,City of Calabasas,1,0,1,Los Angeles Homeless Services Authority (LAHSA),6.22503549097422,0.16064165440501,0,0.16064165440501,23595588.8164063,38313.6504443832
15,City of Carson,167,0,167,Los Angeles Homeless Services Authority (LAHSA),20.2110709391691,8.26279817148895,0,8.26279817148895,76062137.4570313,48328.7094196032
16,City of Cerritos,46,0,46,Los Angeles Homeless Services Authority (LAHSA),8.8516708749513,5.19675896786584,0,5.19675896786584,33334986.03125,44006.3309779409
17,City of Claremont,16,9,25,Los Angeles Homeless Services Authority (LAHSA),16.5462161749823,0.966988454084858,0.543931005422732,1.51091945950759,62703068.0585938,39760.3051500892
18,City of Commerce,147,507,654,Los Angeles Homeless Services Authority (LAHSA),7.41446306168819,19.8261153608782,68.3798672650696,88.2059826259478,28007737.6132813,33852.5511315761
19,City of Compton,720,2,722,Los Angeles Homeless Services Authority (LAHSA),9.47836011372789,75.962507370573,0.211006964918258,76.1735143354913,35718449.2695313,42707.9360442501
20,City of Covina,81,4,85,Los Angeles Homeless Services Authority (LAHSA),7.66347320952169,10.5696200385172,0.521956545111959,11.0915765836291,29012337.5039063,30790.9039454418
21,City of Cudahy,22,0,22,Los Angeles Homeless Services Authority (LAHSA),1.11953450969999,19.651024429694,0,19.651024429694,4225712.390625,11899.0497385422
22,City of Culver City,129,49,178,Los Angeles Homeless Services Authority (LAHSA),4.3765451795084,29.475304083229,11.1960457370405,40.6713498202694,16537453.1640625,37607.4926543087
23,City of Diamond Bar,3,0,3,Los Angeles Homeless Services Authority (LAHSA),13.7322376632602,0.218464031395723,0,0.218464031395723,51876866.1171875,42174.6478744325
24,City of Downey,231,27,258,Los Angeles Homeless Services Authority (LAHSA),12.5810218448989,18.3609887056719,2.14608958897464,20.5070782946465,47458548.0703125,33267.3700605859
25,City of Duarte,25,0,25,Los Angeles Homeless Services Authority (LAHSA),6.69000287677505,3.73691917036236,0,3.73691917036236,25370547.34375,41247.9787066624
26,City of El Monte,418,25,443,Los Angeles Homeless Services Authority (LAHSA),9.81756736038477,42.5767386824039,2.5464556628232,45.1231943452271,37154350.0742188,31902.8139725613
27,City of El Segundo,47,0,47,Los Angeles Homeless Services Authority (LAHSA),5.47630446617524,8.58243004754367,0,8.58243004754367,20647618.03125,21230.7641156307
28,City of Gardena,97,0,97,Los Angeles Homeless Services Authority (LAHSA),5.86708447182202,16.5329134880986,0,16.5329134880986,22109136.8632813,24265.2854739457
29,City of Glendale,75,94,169,City of Glendale,30.5451954851472,2.45537796726393,3.07740705230412,5.53278501956805,115894512.3125,69945.0976884057
30,City of Glendora,150,0,150,Los Angeles Homeless Services Authority (LAHSA),20.8669005165794,7.18841784292882,0,7.18841784292882,79102004.1289063,50333.0409851761
